# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  260,19940611,  116,   73,  161
  260,19940612,  131,   76,  185
  260,19940613,  136,   58,  191
  260,19940614,  147,   66,  217
  260,19940615,  136,   66,  184
  260,19940616,  126,  114,  151
  260,19940617,  133,  102,  165
  260,19940618,  160,  126,  197
  260,19940619,  160,  127,  184
  260,19940620,  161,  143,  183
  260,19940621,  169,  140,  191
  260,19940622,  162,   92,  196
  260,19940623,  142,   72,  193
  260,19940624,  192,   92,  259
  260,19940625,  194,  144,  247
  260,19940626,  188,  139,  240
  260,19940627,  179,  134,  242
  260,19940628,  221,  143,  297
  260,19940629,  190,  113,  242
  260,19940630,  173,  100,  230
  260,19940701,  199,  115,  262
  260,19940702,  234,  152,  301
  260,19940703,  229,  175,  291
  260,19940704,  218,  180,  268
  260,19940705,  175,  106,  207
  260,19940706,  166,   96,  219
  260,19940707,  144,  100,  186
  260,19940708,  167,  102,  214
  260,19940709,  184,  132,  232
  260,19940710,  195,  108,  255
  260,19940711,  231,  148,  293
  260,19940712,  253,  179,  318
  260,19940713,  245,  190,  305
  260,19940714,  202,  155,  244
  260,19940715,  196,  135,  260
  260,19940716,  199,  151,  247
  260,19940717,  191,  143,  249
  260,19940718,  189,  124,  247
  260,19940719,  209,  149,  268
  260,19940720,  215,  147,  274
  260,19940721,  227,  143,  294
  260,19940722,  233,  173,  295
  260,19940723,  240,  181,  307
  260,19940724,  266,  177,  341
  260,19940725,  236,  187,  290
  260,19940726,  232,  169,  296
  260,19940727,  244,  190,  309
  260,19940728,  217,  180,  271
  260,19940729,  205,  163,  256
  260,19940730,  236,  156,  310
  260,19940731,  243,  158,  316
  260,19940801,  188,  145,  227
  260,19940802,  200,  126,  256
  260,19940803,  235,  152,  299
  260,19940804,  258,  178,  339
  260,19940805,  217,  173,  257
  260,19940806,  209,  171,  256
  260,19940807,  188,  150,  239
  260,19940808,  179,  120,  226
  260,19940809,  182,  110,  231
  260,19940810,  198,  150,  251
  260,19940811,  199,  162,  242
  260,19940812,  161,  143,  178
  260,19940813,  152,  112,  188
  260,19940814,  136,   77,  185
  260,19940815,  131,   56,  192
  260,19940816,  158,   80,  228
  260,19940817,  145,  109,  191
  260,19940818,  156,  121,  188
  260,19940819,  166,  137,  192
  260,19940820,  157,  105,  200
  260,19940821,  166,  103,  224
  260,19940822,  185,  128,  233
  260,19940823,  187,  158,  227
  260,19940824,  175,  139,  214
  260,19940825,  167,  123,  215
  260,19940826,  164,  126,  203
  260,19940827,  163,  125,  213
  260,19940828,  154,  122,  190
  260,19940829,  149,  119,  195
  260,19940830,  153,  114,  205
  260,19940831,  170,  105,  218
  260,19940901,  168,  147,  188
  260,19940902,  154,  135,  189
  260,19940903,  151,   97,  185
  260,19940904,  164,   99,  194
  260,19940905,  148,   91,  185
  260,19940906,  132,   91,  179
  260,19940907,  126,   87,  175
  260,19940908,  135,  102,  193
  260,19940909,  127,   95,  172
  260,19940910,  128,   93,  171
  260,19940911,  126,   95,  152
  260,19940912,  154,  126,  211
  260,19940913,  144,  111,  189
  260,19940914,  128,  105,  144
  260,19940915,  124,  110,  141
  260,19940916,  117,   96,  145
  260,19940917,  115,   95,  136
  260,19940918,  131,  107,  171
  260,19940919,  124,  103,  162
  260,19940920,  109,   99,  121
  260,19940921,  132,   97,  178
  260,19940922,  125,   85,  181
  260,19940923,  139,   72,  197
  260,19940924,  146,   99,  202
  260,19940925,  148,   90,  207
  260,19940926,  143,  112,  186
  260,19940927,  137,  109,  164
  260,19940928,  129,   88,  179
  260,19940929,  139,  125,  158
  260,19940930,  139,  109,  166
  260,19941001,  130,  109,  151
  260,19941002,  136,  109,  172
  260,19941003,   96,   42,  148
  260,19941004,   60,   38,   97
  260,19941005,   79,   48,  118
  260,19941006,   93,   53,  126
  260,19941007,   84,   36,  135
  260,19941008,   79,   18,  139
  260,19941009,   89,   43,  156
  260,19941010,   92,   31,  156
  260,19941011,   93,   40,  169
  260,19941012,   77,   20,  142
  260,19941013,  104,   75,  160
  260,19941014,  100,   37,  187
  260,19941015,   94,   31,  176
  260,19941016,  103,   80,  128
  260,19941017,   58,   13,  103
  260,19941018,   53,   -2,  109
  260,19941019,   75,   28,  120
  260,19941020,   75,   31,  113
  260,19941021,   97,   58,  131
  260,19941022,  127,   85,  150
  260,19941023,  123,   94,  168
  260,19941024,  101,   81,  138
  260,19941025,   96,   77,  125
  260,19941026,   82,   59,  112
  260,19941027,   76,   57,  105
  260,19941028,   74,   51,  111
  260,19941029,   84,   48,  118
  260,19941030,  139,  103,  154
  260,19941031,  131,  116,  150
  260,19941101,  102,   44,  133
  260,19941102,   67,   16,  118
  260,19941103,  116,   68,  157
  260,19941104,  139,  110,  177
  260,19941105,  133,  105,  175
  260,19941106,  123,  102,  149
  260,19941107,  111,  102,  124
  260,19941108,  101,   85,  116
  260,19941109,   95,   69,  115
  260,19941110,  105,   97,  118
  260,19941111,  106,   98,  117
  260,19941112,   97,   73,  116
  260,19941113,  113,   92,  135
  260,19941114,  140,  128,  148
  260,19941115,  126,  107,  142
  260,19941116,   93,   61,  115
  260,19941117,   93,   64,  115
  260,19941118,   97,   70,  123
  260,19941119,  114,   66,  145
  260,19941120,  135,   91,  147
  260,19941121,   88,   65,  116
  260,19941122,   80,   50,  113
  260,19941123,  106,   67,  126
  260,19941124,   92,   30,  119
  260,19941125,   70,   21,  113
  260,19941126,  112,   94,  123
  260,19941127,   99,   94,  107
  260,19941128,   84,   19,  126
  260,19941129,   63,   25,   80
  260,19941130,   55,   41,   60
  260,19941201,   31,   10,   64
  260,19941202,   20,   -2,   47
  260,19941203,   80,   22,  124
  260,19941204,   96,   65,  128
  260,19941205,   95,   77,  109
  260,19941206,   74,   47,  102
  260,19941207,   69,   39,   97
  260,19941208,   86,   58,  104
  260,19941209,   55,  -10,   95
  260,19941210,   64,  -13,  137
  260,19941211,  129,  114,  140
  260,19941212,  126,  111,  137
  260,19941213,   99,   58,  135
  260,19941214,   29,   -9,   78
  260,19941215,    0,  -27,   16
  260,19941216,   30,   -7,   90
  260,19941217,   29,   -7,   61
  260,19941218,   60,   51,   67
  260,19941219,   53,   27,   70
  260,19941220,   31,   -4,   64
  260,19941221,   19,  -19,   62
  260,19941222,  -10,  -37,   47
  260,19941223,  -15,  -39,    0
  260,19941224,  -41,  -67,   -1
  260,19941225,  -28,  -56,   -5
  260,19941226,   17,   -5,   53
  260,19941227,   93,   53,  113
  260,19941228,  125,  108,  140
  260,19941229,  109,   73,  134
  260,19941230,   67,   57,   81
  260,19941231,   50,   14,   75
  270,19940101,   29,    9,   54
  270,19940102,   27,    5,   63
  270,19940103,   46,   14,   66
  270,19940104,   55,   41,   69
  270,19940105,   48,   26,   72
  270,19940106,   59,   32,   76
  270,19940107,   50,   42,   76
  270,19940108,   31,    9,   47
  270,19940109,   12,   -3,   31
  270,19940110,   21,   10,   41
  270,19940111,   32,   16,   54
  270,19940112,   77,   49,  110
  270,19940113,   81,   64,  100
  270,19940114,   63,   41,   72
  270,19940115,   47,   11,   64
  270,19940116,    5,  -27,   42
  270,19940117,  -16,  -61,   19
  270,19940118,   37,   -6,   55
  270,19940119,   36,    6,   62
  270,19940120,   30,  -15,   55
  270,19940121,   62,   51,   70
  270,19940122,   63,   36,   79
  270,19940123,   64,   41,   95
  270,19940124,   42,    1,   63
  270,19940125,   66,   15,   99
  270,19940126,   53,   29,   72
  270,19940127,   73,   39,   89
  270,19940128,   40,    9,   56
  270,19940129,   44,   21,   79
  270,19940130,   67,   49,   81
  270,19940131,   52,   37,   68
  270,19940201,   49,   43,   71
  270,19940202,   34,  -28,   59
  270,19940203,    6,  -44,   35
  270,19940204,   32,   19,   41
  270,19940205,   25,   16,   38
  270,19940206,   25,   13,   36
  270,19940207,   35,   14,   55
  270,19940208,   36,    4,   72
  270,19940209,   45,   13,   76
  270,19940210,   43,    2,   68
  270,19940211,   25,   -1,   36
  270,19940212,    1,  -17,   25
  270,19940213,  -36,  -74,   -8
  270,19940214,  -54,  -90,  -23
  270,19940215,  -22,  -63,   16
  270,19940216,   -8,  -41,   40
  270,19940217,  -25,  -82,   33
  270,19940218,  -32,  -86,   24
  270,19940219,  -43, -100,   12
  270,19940220,  -47,  -86,   -9
  270,19940221,  -46,  -97,  -14
  270,19940222,  -63, -125,  -20
  270,19940223,  -51, -152,   12
  270,19940224,  -18,  -32,   -8
  270,19940225,   -7,  -42,   13
  270,19940226,   46,   -1,   92
  270,19940227,   61,   40,   95
  270,19940228,   68,   42,   99
  270,19940301,   38,   11,   64
  270,19940302,   32,    9,   52
  270,19940303,   40,   11,   67
  270,19940304,   52,   22,   93
  270,19940305,   61,   24,   99
  270,19940306,   61,   36,   83
  270,19940307,   79,   62,  101
  270,19940308,   87,   76,  103
  270,19940309,   76,   54,   89
  270,19940310,   57,   17,   84
  270,19940311,   49,   17,   92
  270,19940312,   54,   38,   74
  270,19940313,   67,   48,   97
  270,19940314,   78,   49,  106
  270,19940315,   58,   44,   71
  270,19940316,   47,    8,   71
  270,19940317,   40,    7,   72
  270,19940318,   48,   24,   77
  270,19940319,   42,    7,   76
  270,19940320,   34,   -2,   65
  270,19940321,   29,  -16,   64
  270,19940322,   43,    3,   77
  270,19940323,   95,   76,  107
  270,19940324,   78,   61,  102
  270,19940325,   72,   45,   95
  270,19940326,   51,   27,   76
  270,19940327,   50,    7,   84
  270,19940328,   73,   37,   98
  270,19940329,   95,   54,  120
  270,19940330,  116,   49,  168
  270,19940331,  106,   73,  141
  270,19940401,   82,   50,  107
  270,19940402,   47,    8,   72
  270,19940403,   53,    2,   91
  270,19940404,   55,   30,   83
  270,19940405,   40,   16,   66
  270,19940406,   48,    5,   93
  270,19940407,   58,   11,   92
  270,19940408,   67,   43,   95
  270,19940409,   47,   28,   76
  270,19940410,   56,   24,   86
  270,19940411,   81,   54,  114
  270,19940412,   82,   46,  115
  270,19940413,   72,   52,   94
  270,19940414,   54,   43,   80
  270,19940415,   66,   50,   89
  270,19940416,   61,   42,   82
  270,19940417,   49,   26,   82
  270,19940418,   50,   -1,   87
  270,19940419,   54,   23,   90
  270,19940420,   85,   34,  130
  270,19940421,   75,   28,  128
  270,19940422,  113,   37,  169
  270,19940423,  143,   94,  221
  270,19940424,  133,   79,  206
  270,19940425,   97,   49,  138
  270,19940426,  101,   50,  138
  270,19940427,  123,  108,  140
  270,19940428,  125,   96,  161
  270,19940429,  141,   97,  199
  270,19940430,  112,   77,  146
  270,19940501,   67,   55,   86
  270,19940502,   70,   42,  110
  270,19940503,  130,   43,  186
  270,19940504,  116,   82,  150
  270,19940505,  102,   67,  138
  270,19940506,  107,   87,  137
  270,19940507,  154,  102,  191
  270,19940508,  114,   84,  157
  270,19940509,   91,   64,  118
  270,19940510,   95,   73,  117
  270,19940511,  142,   72,  212
  270,19940512,  153,  104,  217
  270,19940513,  142,   88,  197
  270,19940514,  162,  104,  217
  270,19940515,  129,   82,  155
  270,19940516,  108,   68,  134
  270,19940517,  101,   65,  118
  270,19940518,  104,   53,  134
  270,19940519,  116,   53,  151
  270,19940520,  118,   94,  159
  270,19940521,  122,  100,  160
  270,19940522,  130,  109,  166
  270,19940523,  121,  109,  140
  270,19940524,  120,   89,  154
  270,19940525,  121,   94,  154
  270,19940526,  104,   72,  123
  270,19940527,  103,   55,  145
  270,19940528,   94,   46,  135
  270,19940529,   88,   53,  125
  270,19940530,   94,   49,  137
  270,19940531,  124,   49,  167
  270,19940601,  165,   77,  228
  270,19940602,  153,  124,  181
  270,19940603,  142,  112,  178
  270,19940604,  114,   63,  149
  270,19940605,  106,   58,  143
  270,19940606,  125,   60,  163
  270,19940607,  144,  130,  164
  270,19940608,  116,   78,  148
  270,19940609,  113,   73,  144
  270,19940610,  111,   90,  135
  270,19940611,  113,   66,  155
  270,19940612,  111,   46,  154
  270,19940613,  130,   71,  173
  270,19940614,  135,   72,  196
  270,19940615,  124,   78,  161
  270,19940616,  119,   90,  137
  270,19940617,  120,   49,  160
  270,19940618,  146,  124,  162
  270,19940619,  148,  123,  169
  270,19940620,  163,  141,  211
  270,19940621,  157,  141,  178
  270,19940622,  154,  122,  176
  270,19940623,  128,   70,  163
  270,19940624,  168,   67,  228
  270,19940625,  186,  142,  241
  270,19940626,  174,  140,  221
  270,19940627,  170,  130,  211
  270,19940628,  207,  123,  279
  270,19940629,  175,  120,  222
  270,19940630,  154,  109,  202
  270,19940701,  161,  103,  219
  270,19940702,  200,  126,  268
  270,19940703,  219,  151,  296
  270,19940704,  199,  156,  272
  270,19940705,  172,  123,  206
  270,19940706,  166,  120,  205
  270,19940707,  148,  131,  179
  270,19940708,  159,  120,  198
  270,19940709,  168,  114,  210
  270,19940710,  188,  137,  240
  270,19940711,  221,  155,  277
  270,19940712,  246,  191,  303
  270,19940713,  239,  194,  310
  270,19940714,  191,  170,  223
  270,19940715,  188,  134,  236
  270,19940716,  176,  128,  212
  270,19940717,  160,  104,  202
  270,19940718,  168,   98,  212
  270,19940719,  189,  131,  237
  270,19940720,  196,  142,  256
  270,19940721,  205,  136,  258
  270,19940722,  213,  166,  273
  270,19940723,  200,  170,  232
  270,19940724,  242,  173,  311
  270,19940725,  235,  179,  293
  270,19940726,  220,  169,  265
  270,19940727,  221,  180,  282
  270,19940728,  206,  180,  263
  270,19940729,  187,  151,  223
  270,19940730,  223,  138,  283
  270,19940731,  242,  195,  314
  270,19940801,  207,  179,  259
  270,19940802,  192,  146,  226
  270,19940803,  220,  178,  285
  270,19940804,  243,  172,  320
  270,19940805,  213,  171,  256
  270,19940806,  186,  138,  227
  270,19940807,  168,  115,  216
  270,19940808,  168,  114,  216
  270,19940809,  171,  133,  215
  270,19940810,  180,  114,  224
  270,19940811,  182,  159,  218
